===== Running VGG16 with SGD =====
Epoch 21/50 - Loss: 1.3588, Train Acc: 0.9417, Test Acc: 0.9667
Epoch 22/50 - Loss: 0.7560, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 23/50 - Loss: 1.2369, Train Acc: 0.9417, Test Acc: 0.9667
Epoch 24/50 - Loss: 0.8031, Train Acc: 0.9667, Test Acc: 0.9333
Epoch 25/50 - Loss: 1.1993, Train Acc: 0.9500, Test Acc: 0.9667
Epoch 26/50 - Loss: 1.5162, Train Acc: 0.9333, Test Acc: 0.9667
Epoch 27/50 - Loss: 1.6942, Train Acc: 0.9417, Test Acc: 0.9667
Epoch 28/50 - Loss: 1.1125, Train Acc: 0.9333, Test Acc: 0.9333
Epoch 29/50 - Loss: 0.9435, Train Acc: 0.9250, Test Acc: 0.7333
Epoch 30/50 - Loss: 1.3205, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 31/50 - Loss: 1.3034, Train Acc: 0.9417, Test Acc: 0.9667
Epoch 32/50 - Loss: 0.9613, Train Acc: 0.9500, Test Acc: 0.9667
Epoch 33/50 - Loss: 0.9163, Train Acc: 0.9500, Test Acc: 0.9667
Epoch 34/50 - Loss: 0.7676, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 35/50 - Loss: 0.7326, Train Acc: 0.9667, Test Acc: 0.9000
Epoch 36/50 - Loss: 1.5673, Train Acc: 0.9333, Test Acc: 0.9333
Epoch 37/50 - Loss: 1.0151, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 38/50 - Loss: 0.8272, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 39/50 - Loss: 1.4859, Train Acc: 0.9250, Test Acc: 0.9333
Epoch 40/50 - Loss: 0.9462, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 41/50 - Loss: 0.7030, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 42/50 - Loss: 1.3970, Train Acc: 0.9333, Test Acc: 0.9667
Epoch 43/50 - Loss: 0.9559, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 44/50 - Loss: 0.8570, Train Acc: 0.9583, Test Acc: 0.9333
Epoch 45/50 - Loss: 0.7932, Train Acc: 0.9417, Test Acc: 0.9667
Epoch 46/50 - Loss: 0.8242, Train Acc: 0.9500, Test Acc: 0.9333
Epoch 47/50 - Loss: 0.7768, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 48/50 - Loss: 1.0312, Train Acc: 0.9583, Test Acc: 0.9333
Epoch 49/50 - Loss: 1.0493, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 50/50 - Loss: 0.8375, Train Acc: 0.9583, Test Acc: 0.9667
Result: Train Acc=0.9583, Test Acc=0.9667
