===== Running BasicCNN with SGD =====
Epoch 22/50 - Loss: 0.5825, Train Acc: 0.9833, Test Acc: 0.9667
Epoch 23/50 - Loss: 0.6354, Train Acc: 0.9500, Test Acc: 0.9667
Epoch 24/50 - Loss: 0.9797, Train Acc: 0.9500, Test Acc: 0.9333
Epoch 25/50 - Loss: 1.2101, Train Acc: 0.9333, Test Acc: 0.9667
Epoch 26/50 - Loss: 0.5981, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 27/50 - Loss: 0.5437, Train Acc: 0.9750, Test Acc: 0.9333
Epoch 28/50 - Loss: 0.6407, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 29/50 - Loss: 0.8187, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 30/50 - Loss: 0.7611, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 31/50 - Loss: 1.5164, Train Acc: 0.9250, Test Acc: 0.9667
Epoch 32/50 - Loss: 0.8936, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 33/50 - Loss: 0.5281, Train Acc: 0.9667, Test Acc: 0.9333
Epoch 34/50 - Loss: 0.6842, Train Acc: 0.9667, Test Acc: 0.9333
Epoch 35/50 - Loss: 0.5772, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 36/50 - Loss: 0.6362, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 37/50 - Loss: 0.5240, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 38/50 - Loss: 0.4697, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 39/50 - Loss: 0.4962, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 40/50 - Loss: 0.6406, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 41/50 - Loss: 0.5318, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 42/50 - Loss: 0.8113, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 43/50 - Loss: 0.7778, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 44/50 - Loss: 0.9181, Train Acc: 0.9500, Test Acc: 0.9667
Epoch 45/50 - Loss: 1.5916, Train Acc: 0.9167, Test Acc: 0.9667
Epoch 45/50 - Loss: 1.5916, Train Acc: 0.9167, Test Acc: 0.9667
Epoch 46/50 - Loss: 0.5892, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 47/50 - Loss: 0.5784, Train Acc: 0.9750, Test Acc: 0.9333
Epoch 48/50 - Loss: 0.5419, Train Acc: 0.9750, Test Acc: 0.9333
Epoch 49/50 - Loss: 0.6051, Train Acc: 0.9833, Test Acc: 0.9667
Epoch 50/50 - Loss: 0.9391, Train Acc: 0.9583, Test Acc: 0.9333
Result: Train Acc=0.9583, Test Acc=0.9333

===== Running VGG16 with SGD =====
Epoch 1/50 - Loss: 8.7473, Train Acc: 0.3583, Test Acc: 0.4667
Epoch 2/50 - Loss: 8.4730, Train Acc: 0.5000, Test Acc: 0.7333
Epoch 3/50 - Loss: 7.0108, Train Acc: 0.6167, Test Acc: 0.7333
Epoch 4/50 - Loss: 8.1737, Train Acc: 0.6500, Test Acc: 0.5333
Epoch 5/50 - Loss: 9.8076, Train Acc: 0.5667, Test Acc: 0.2667
Epoch 6/50 - Loss: 8.8539, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 7/50 - Loss: 8.6115, Train Acc: 0.3917, Test Acc: 0.5000
Epoch 8/50 - Loss: 7.6602, Train Acc: 0.5250, Test Acc: 0.5333
Epoch 9/50 - Loss: 8.2270, Train Acc: 0.5167, Test Acc: 0.2667
Epoch 10/50 - Loss: 8.9415, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 11/50 - Loss: 8.8423, Train Acc: 0.3667, Test Acc: 0.2667
Epoch 12/50 - Loss: 8.8101, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 13/50 - Loss: 8.8169, Train Acc: 0.3250, Test Acc: 0.2667
Epoch 14/50 - Loss: 8.7707, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 15/50 - Loss: 8.7730, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 16/50 - Loss: 8.7559, Train Acc: 0.2917, Test Acc: 0.5333
Epoch 17/50 - Loss: 8.7676, Train Acc: 0.4250, Test Acc: 0.2667
Epoch 18/50 - Loss: 8.7508, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 19/50 - Loss: 8.7483, Train Acc: 0.4083, Test Acc: 0.2667
Epoch 20/50 - Loss: 8.7416, Train Acc: 0.4250, Test Acc: 0.5333
Epoch 21/50 - Loss: 8.6359, Train Acc: 0.6167, Test Acc: 0.3667
Epoch 22/50 - Loss: 8.2359, Train Acc: 0.5583, Test Acc: 0.2667
Epoch 23/50 - Loss: 7.6395, Train Acc: 0.5917, Test Acc: 0.5333
Epoch 24/50 - Loss: 7.0304, Train Acc: 0.7417, Test Acc: 0.2667
Epoch 25/50 - Loss: 8.8494, Train Acc: 0.3500, Test Acc: 0.7000
Epoch 26/50 - Loss: 7.7194, Train Acc: 0.6167, Test Acc: 0.7333
Epoch 27/50 - Loss: 5.7734, Train Acc: 0.5750, Test Acc: 0.5333
Epoch 28/50 - Loss: 4.1059, Train Acc: 0.7250, Test Acc: 0.9667
Epoch 29/50 - Loss: 6.2106, Train Acc: 0.6750, Test Acc: 0.2667
Epoch 30/50 - Loss: 7.4565, Train Acc: 0.6000, Test Acc: 0.7333
Epoch 31/50 - Loss: 5.0419, Train Acc: 0.7083, Test Acc: 0.5333
Epoch 32/50 - Loss: 4.3123, Train Acc: 0.7083, Test Acc: 0.5333
Epoch 33/50 - Loss: 4.2262, Train Acc: 0.6917, Test Acc: 0.7333
Epoch 34/50 - Loss: 3.8275, Train Acc: 0.7333, Test Acc: 0.5333
Epoch 35/50 - Loss: 4.3944, Train Acc: 0.7083, Test Acc: 0.5667
Epoch 36/50 - Loss: 3.9677, Train Acc: 0.7667, Test Acc: 0.9667
Epoch 37/50 - Loss: 3.3683, Train Acc: 0.8000, Test Acc: 0.9667
Epoch 38/50 - Loss: 4.2003, Train Acc: 0.7583, Test Acc: 0.7667
Epoch 39/50 - Loss: 4.4697, Train Acc: 0.6667, Test Acc: 0.5333
Epoch 40/50 - Loss: 4.5190, Train Acc: 0.6500, Test Acc: 0.7333
Epoch 41/50 - Loss: 3.2689, Train Acc: 0.7750, Test Acc: 0.5667
Epoch 42/50 - Loss: 2.9742, Train Acc: 0.8167, Test Acc: 0.8000
Epoch 43/50 - Loss: 2.9622, Train Acc: 0.8000, Test Acc: 0.8000
Epoch 44/50 - Loss: 2.7139, Train Acc: 0.8500, Test Acc: 0.6333
Epoch 45/50 - Loss: 8.8511, Train Acc: 0.5833, Test Acc: 0.2667
Epoch 46/50 - Loss: 8.6370, Train Acc: 0.4833, Test Acc: 0.6333
Epoch 47/50 - Loss: 5.4872, Train Acc: 0.6917, Test Acc: 0.5333
Epoch 48/50 - Loss: 3.5555, Train Acc: 0.7083, Test Acc: 0.7333
Epoch 49/50 - Loss: 3.6231, Train Acc: 0.7583, Test Acc: 0.5667
Epoch 50/50 - Loss: 3.7417, Train Acc: 0.7167, Test Acc: 0.7667
Result: Train Acc=0.7167, Test Acc=0.7667

===== Running VGG16 with Adam =====
Epoch 1/50 - Loss: 39765381162399.8516, Train Acc: 0.3417, Test Acc: 0.2667
Epoch 2/50 - Loss: 320978848.6250, Train Acc: 0.3333, Test Acc: 0.4667
Epoch 3/50 - Loss: 107022536.8043, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 4/50 - Loss: 1535.9970, Train Acc: 0.2750, Test Acc: 0.4667
Epoch 5/50 - Loss: 211270.4613, Train Acc: 0.3750, Test Acc: 0.2667
Epoch 6/50 - Loss: 4830247.7293, Train Acc: 0.3167, Test Acc: 0.2667
Epoch 7/50 - Loss: 14636.9315, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 8/50 - Loss: 6192.6535, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 9/50 - Loss: 18803.8997, Train Acc: 0.2417, Test Acc: 0.2667
Epoch 10/50 - Loss: 22018.4900, Train Acc: 0.3417, Test Acc: 0.2667
Epoch 11/50 - Loss: 6500.1570, Train Acc: 0.3417, Test Acc: 0.4667
Epoch 12/50 - Loss: 690.9630, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 13/50 - Loss: 135.1741, Train Acc: 0.2917, Test Acc: 0.2667
Epoch 14/50 - Loss: 67.3116, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 15/50 - Loss: 25.9484, Train Acc: 0.1833, Test Acc: 0.2667
